platform,topic,description,volume,tags
x,#PeakyBlindersMovie,"Fans react to the Netflix film — comparisons to the series, Cillian Murphy praise",142K posts,"Film, Netflix, Drama"
x,#Oscars2026,Nominations announced — debates over snubs and surprises dominate,98K posts,"Awards, Film"
tiktok,POV: You're Tommy Shelby,Peaky Blinders movie has reignited the Tommy Shelby POV trend,89M views,"Entertainment, Trend"
tiktok,#WhatToWatchUK,Creators sharing weekly streaming recommendations for UK viewers,54M views,"Recommendations, Streaming"
instagram,Day of the Jackal edits,Fan-made cinematic edits of Eddie Redmayne scenes going viral,12M impressions,"Fan Content, Sky Original"
x,#BlackMirrorS7,"Divided opinions — some call it the best series yet, others disagree",67K posts,"Netflix, Sci-Fi, Debate"
tiktok,#28DaysLater,Trailer reaction videos and franchise retrospectives trending,28M views,"Horror, Film, Sequel"
instagram,Sweetpea fan art,Growing fan community creating art and cosplay around the Sky original,4.2M impressions,"Fan Art, Sky Original"
x,#LoveIsBlindUK,UK series 2 premiere sparks massive live-tweeting and meme creation,45K posts,"Reality, Netflix"
tiktok,Mr Bigstuff return hints,Cast social media activity sparks speculation about Series 2,18M views,"Comedy, Sky Original"
instagram,War (Sky) aesthetic,Moody cinematography stills from War trending as phone wallpapers,3.8M impressions,"Sky Original, Aesthetic"
x,#ReacherS3,Amazon's action series continues to dominate conversation,34K posts,"Amazon, Action"
